x,y,val-esp
1,4,27.200000000000003
5,-3,9.5
5,3,30.5
4,2,10.8
-4,5,48.7
3,-3,-8.1
5,1,19.5
-3,2,-0.40000000000000036
-2,0,0.3999999999999999
3,3,12.899999999999999
-2,-1,0.8999999999999999
-3,-3,-12.899999999999999
-1,0,0.8
4,-5,-48.7
2,5,57.099999999999994
-1,2,2.8
5,4,48.0
2,2,1.5999999999999996
4,1,8.3
-1,5,58.3
-1,4,28.8
1,-1,-0.30000000000000004
-1,3,11.3
1,-5,-58.3
4,0,8.8
-4,-4,-36.8
2,-5,-57.9
1,-3,-11.3
-1,-5,-56.7
-3,1,-2.9000000000000004
-4,-3,-19.3
-4,5,48.7
1,3,9.7
-2,3,10.9
-2,5,57.9
-5,0,-20.0
-3,0,-2.4000000000000004
2,-2,-2.4
3,5,59.900000000000006
3,-1,2.9000000000000004
2,-1,0.10000000000000009
5,2,22.0
4,0,8.8
2,4,27.6
4,-1,9.3
-3,0,-2.4000000000000004
5,-3,9.5
4,-2,6.800000000000001
2,-1,0.10000000000000009
2,3,10.1
0,3,10.5
2,2,1.5999999999999996
-2,2,2.4
3,-2,0.40000000000000036
-4,4,19.2
-2,5,57.9
-3,0,-2.4000000000000004
-3,1,-2.9000000000000004
-1,-1,1.3
4,2,10.8
4,2,10.8
-4,5,48.7
0,0,0.0
3,-3,-8.1
3,-3,-8.1
-5,2,-18.0
-2,4,28.4
-5,2,-18.0
-5,-5,-77.5
0,0,0.0
0,-4,-28.0
1,-1,-0.30000000000000004
4,-4,-19.2
-5,1,-20.5
-2,-3,-10.1
-4,-1,-8.3
1,5,56.7
-3,1,-2.9000000000000004
0,-4,-28.0
4,3,19.3
-3,-3,-12.899999999999999
-5,2,-18.0
-1,2,2.8
5,0,20.0
1,-2,-2.8
3,-5,-55.1
2,5,57.099999999999994
-4,5,48.7
-5,2,-18.0
-4,2,-6.800000000000001
3,-1,2.9000000000000004
-3,0,-2.4000000000000004
-4,0,-8.8
-3,2,-0.40000000000000036
-3,0,-2.4000000000000004
2,0,-0.3999999999999999
1,-2,-2.8
-4,-5,-66.3
-1,-1,1.3
0,4,28.0
-2,4,28.4
4,5,66.3
-5,2,-18.0
-1,0,0.8
-4,3,1.6999999999999993
1,-3,-11.3
-2,0,0.3999999999999999
2,-4,-28.4
0,-1,0.5
5,-1,20.5
3,-5,-55.1
-1,0,0.8
0,-4,-28.0
-5,-2,-22.0
-5,4,8.0
0,4,28.0
4,-4,-19.2
0,-5,-57.5
4,-1,9.3
5,2,22.0
3,-2,0.40000000000000036
5,-5,-37.5
-5,-1,-19.5
2,-1,0.10000000000000009
-2,2,2.4
-3,0,-2.4000000000000004
-3,0,-2.4000000000000004
-2,-2,-1.5999999999999996
1,4,27.200000000000003
5,2,22.0
-4,-1,-8.3
-4,-5,-66.3
-3,2,-0.40000000000000036
-3,1,-2.9000000000000004
2,1,-0.8999999999999999
0,-3,-10.5
5,1,19.5
4,-1,9.3
1,5,56.7
-4,5,48.7
-1,2,2.8
1,4,27.200000000000003
5,5,77.5
3,-1,2.9000000000000004
3,-1,2.9000000000000004
3,-4,-25.6
4,1,8.3
-1,-2,-1.2000000000000002
2,-5,-57.9
-4,-4,-36.8
-1,2,2.8
0,0,0.0
-5,5,37.5
0,-2,-2.0
-5,0,-20.0
3,5,59.900000000000006
3,-5,-55.1
3,0,2.4000000000000004
-5,-4,-48.0
-1,-5,-56.7
-4,-4,-36.8
-1,-1,1.3
-3,3,8.1
-3,4,25.6
-5,2,-18.0
1,-1,-0.30000000000000004
-1,1,0.30000000000000004
-1,1,0.30000000000000004
1,5,56.7
1,3,9.7
2,5,57.099999999999994
-5,-5,-77.5
-2,0,0.3999999999999999
-4,2,-6.800000000000001
-3,1,-2.9000000000000004
2,-4,-28.4
3,4,30.4
2,-5,-57.9
5,5,77.5
-3,4,25.6
-1,3,11.3
0,-4,-28.0
-3,1,-2.9000000000000004
-5,-4,-48.0
0,-4,-28.0
-5,2,-18.0
1,-1,-0.30000000000000004
-1,3,11.3
3,1,1.9000000000000004
-1,2,2.8
1,4,27.200000000000003
2,0,-0.3999999999999999
5,5,77.5
4,-1,9.3
3,2,4.4
2,-2,-2.4
-1,4,28.8
3,0,2.4000000000000004
2,-3,-10.9
0,-3,-10.5
-5,3,-9.5
2,1,-0.8999999999999999
-1,-3,-9.7
3,3,12.899999999999999
-1,5,58.3
5,0,20.0
-3,3,8.1
3,-1,2.9000000000000004
0,1,-0.5
-2,-1,0.8999999999999999
-3,3,8.1
4,0,8.8
0,0,0.0
-4,-1,-8.3
-1,-1,1.3
4,-4,-19.2
5,4,48.0
-3,3,8.1
2,3,10.1
-2,-2,-1.5999999999999996
-2,4,28.4
0,-3,-10.5
-4,-1,-8.3
2,0,-0.3999999999999999
-3,1,-2.9000000000000004
-4,-5,-66.3
-2,0,0.3999999999999999
-2,5,57.9
-4,-4,-36.8
2,-4,-28.4
0,-1,0.5
2,0,-0.3999999999999999
4,5,66.3
0,3,10.5
3,-2,0.40000000000000036
0,3,10.5
4,2,10.8
-4,-4,-36.8
1,-4,-28.8
5,2,22.0
-1,-4,-27.200000000000003
2,-3,-10.9
-5,5,37.5
-5,-4,-48.0
2,-3,-10.9
-2,-1,0.8999999999999999
-2,-2,-1.5999999999999996
-2,4,28.4
-4,-3,-19.3
1,-4,-28.8
1,2,1.2000000000000002
4,-4,-19.2
-1,1,0.30000000000000004
3,-4,-25.6
-1,5,58.3
-5,-2,-22.0
-2,-4,-27.6
1,-3,-11.3
4,-2,6.800000000000001
0,-3,-10.5
1,3,9.7
5,1,19.5
4,3,19.3
4,-1,9.3
3,-1,2.9000000000000004
4,2,10.8
5,5,77.5
4,4,36.8
-4,2,-6.800000000000001
2,1,-0.8999999999999999
4,2,10.8
5,4,48.0
-4,-2,-10.8
-2,-3,-10.1
3,4,30.4
1,5,56.7
5,2,22.0
4,3,19.3
5,-2,18.0
-2,2,2.4
-4,-3,-19.3
-2,-3,-10.1
1,4,27.200000000000003
5,-5,-37.5
-3,2,-0.40000000000000036
0,-2,-2.0
-1,5,58.3
-4,3,1.6999999999999993
0,3,10.5
-4,-3,-19.3
-2,0,0.3999999999999999
-1,-4,-27.200000000000003
4,-1,9.3
3,0,2.4000000000000004
2,-5,-57.9
-3,2,-0.40000000000000036
-1,3,11.3
-3,-5,-59.900000000000006
2,5,57.099999999999994
2,-1,0.10000000000000009
3,-4,-25.6
-3,4,25.6
1,-2,-2.8
-2,-5,-57.099999999999994
3,5,59.900000000000006
5,-4,-8.0
4,3,19.3
3,5,59.900000000000006
-4,-5,-66.3
-5,0,-20.0
3,2,4.4
-5,-4,-48.0
4,0,8.8
-4,4,19.2
-5,-4,-48.0
-3,-4,-30.4
-4,-1,-8.3
-5,5,37.5
5,1,19.5
-2,5,57.9
2,1,-0.8999999999999999
1,-5,-58.3
-5,-5,-77.5
1,-1,-0.30000000000000004
-2,-1,0.8999999999999999
-1,-3,-9.7
1,-4,-28.8
1,-2,-2.8
-2,-3,-10.1
-2,1,-0.10000000000000009
-1,3,11.3
0,3,10.5
0,-2,-2.0
-3,1,-2.9000000000000004
2,-3,-10.9
-1,5,58.3
3,-2,0.40000000000000036
-1,-1,1.3
1,-1,-0.30000000000000004
-1,3,11.3
-4,-3,-19.3
-4,-4,-36.8
5,1,19.5
-4,5,48.7
-3,-4,-30.4
1,-1,-0.30000000000000004
5,-5,-37.5
1,-3,-11.3
-4,3,1.6999999999999993
0,4,28.0
4,-4,-19.2
5,-4,-8.0
1,3,9.7
5,1,19.5
3,-1,2.9000000000000004
2,-4,-28.4
5,-2,18.0
4,-4,-19.2
2,-3,-10.9
-4,-5,-66.3
-2,1,-0.10000000000000009
0,5,57.5
-2,1,-0.10000000000000009
-4,3,1.6999999999999993
-2,-3,-10.1
3,0,2.4000000000000004
-2,-5,-57.099999999999994
4,0,8.8
0,2,2.0
2,3,10.1
1,-3,-11.3
-1,-3,-9.7
1,-2,-2.8
4,1,8.3
-3,1,-2.9000000000000004
-1,3,11.3
4,-4,-19.2
-1,2,2.8
-3,-4,-30.4
-2,5,57.9
1,0,-0.8
-1,4,28.8
5,-2,18.0
-3,-3,-12.899999999999999
-4,-1,-8.3
2,2,1.5999999999999996
-4,3,1.6999999999999993
-5,-4,-48.0
1,2,1.2000000000000002
4,-2,6.800000000000001
-5,1,-20.5
1,-2,-2.8
3,-2,0.40000000000000036
0,0,0.0
-4,3,1.6999999999999993
-5,-2,-22.0
-3,5,55.1
-3,2,-0.40000000000000036
-4,2,-6.800000000000001
2,1,-0.8999999999999999
0,-3,-10.5
-1,-1,1.3
1,2,1.2000000000000002
1,0,-0.8
-1,-2,-1.2000000000000002
-5,-3,-30.5
-4,-4,-36.8
4,5,66.3
2,0,-0.3999999999999999
2,5,57.099999999999994
-2,-1,0.8999999999999999
-2,4,28.4
4,-3,-1.6999999999999993
1,1,-1.3
3,2,4.4
5,5,77.5
-2,0,0.3999999999999999
1,5,56.7
-4,2,-6.800000000000001
5,3,30.5
-5,2,-18.0
-4,-1,-8.3
3,-2,0.40000000000000036
-5,-4,-48.0
4,-3,-1.6999999999999993
5,3,30.5
-2,-4,-27.6
-2,-1,0.8999999999999999
5,-5,-37.5
2,-4,-28.4
0,-1,0.5
-3,2,-0.40000000000000036
-3,-1,-1.9000000000000004
0,4,28.0
-3,-1,-1.9000000000000004
-1,0,0.8
-3,1,-2.9000000000000004
5,1,19.5
2,-5,-57.9
4,3,19.3
-2,-4,-27.6
4,1,8.3
3,2,4.4
-5,5,37.5
4,-2,6.800000000000001
2,-1,0.10000000000000009
-5,-2,-22.0
-4,4,19.2
-3,5,55.1
-2,5,57.9
-1,4,28.8
-5,-1,-19.5
0,-3,-10.5
0,5,57.5
-4,-5,-66.3
-4,3,1.6999999999999993
0,-4,-28.0
-3,0,-2.4000000000000004
-5,0,-20.0
-2,-5,-57.099999999999994
-5,1,-20.5
-2,-3,-10.1
-5,-4,-48.0
-1,-4,-27.200000000000003
-2,-3,-10.1
-3,-5,-59.900000000000006
1,1,-1.3
1,3,9.7
-3,3,8.1
-3,-4,-30.4
1,0,-0.8
1,2,1.2000000000000002
1,-3,-11.3
3,-4,-25.6
-4,-1,-8.3
-4,5,48.7
5,-5,-37.5
-1,-4,-27.200000000000003
-5,1,-20.5
-1,-1,1.3
-5,-4,-48.0
3,-3,-8.1
-5,1,-20.5
-3,-4,-30.4
3,-2,0.40000000000000036
1,-5,-58.3
-1,5,58.3
5,-5,-37.5
0,-4,-28.0
-1,0,0.8
1,2,1.2000000000000002
-5,4,8.0
4,-3,-1.6999999999999993
5,-5,-37.5
-1,-1,1.3
-1,-3,-9.7
4,1,8.3
3,-4,-25.6
1,1,-1.3
-5,-5,-77.5
-5,-2,-22.0
3,4,30.4
1,-2,-2.8
3,-2,0.40000000000000036
-4,5,48.7
-3,4,25.6
-1,4,28.8
1,2,1.2000000000000002
5,4,48.0
-4,-5,-66.3
-5,-5,-77.5
0,0,0.0
4,4,36.8
-1,-3,-9.7
5,-5,-37.5
-5,-4,-48.0
0,-2,-2.0
0,4,28.0
-2,-2,-1.5999999999999996
-3,1,-2.9000000000000004
0,-4,-28.0
-2,1,-0.10000000000000009
0,-5,-57.5
-5,4,8.0
0,-5,-57.5
-2,3,10.9
1,-2,-2.8
2,-2,-2.4
-5,2,-18.0
3,0,2.4000000000000004
-5,-3,-30.5
3,1,1.9000000000000004
3,1,1.9000000000000004
-5,-4,-48.0
3,2,4.4
1,2,1.2000000000000002
1,5,56.7
5,-2,18.0
0,3,10.5
2,-2,-2.4
5,-5,-37.5
2,3,10.1
-4,3,1.6999999999999993
-1,2,2.8
-1,-5,-56.7
-3,5,55.1
-2,-3,-10.1
-2,-1,0.8999999999999999
-1,3,11.3
1,3,9.7
3,-2,0.40000000000000036
5,-1,20.5
2,2,1.5999999999999996
3,5,59.900000000000006
3,-5,-55.1
2,-2,-2.4
-4,-1,-8.3
-5,4,8.0
5,4,48.0
-3,-5,-59.900000000000006
1,3,9.7
-2,-1,0.8999999999999999
2,1,-0.8999999999999999
-1,-2,-1.2000000000000002
4,0,8.8
-1,-4,-27.200000000000003
5,5,77.5
1,-5,-58.3
2,-3,-10.9
-5,4,8.0
-2,-5,-57.099999999999994
2,-3,-10.9
4,5,66.3
2,5,57.099999999999994
-4,-3,-19.3
0,-2,-2.0
-5,-5,-77.5
3,-2,0.40000000000000036
-1,-4,-27.200000000000003
-4,-4,-36.8
4,-4,-19.2
5,0,20.0
-3,-5,-59.900000000000006
-5,4,8.0
-1,-4,-27.200000000000003
3,3,12.899999999999999
-3,-4,-30.4
-2,2,2.4
5,-3,9.5
0,-5,-57.5
2,-1,0.10000000000000009
0,5,57.5
-2,-1,0.8999999999999999
2,-5,-57.9
1,-4,-28.8
-4,0,-8.8
4,-3,-1.6999999999999993
-3,4,25.6
-3,-1,-1.9000000000000004
-4,-2,-10.8
-4,-5,-66.3
-1,-1,1.3
3,4,30.4
1,4,27.200000000000003
3,4,30.4
0,2,2.0
0,4,28.0
-2,4,28.4
-4,4,19.2
-1,0,0.8
-1,5,58.3
-1,2,2.8
5,4,48.0
5,4,48.0
4,2,10.8
3,0,2.4000000000000004
-1,0,0.8
-2,2,2.4
-1,-2,-1.2000000000000002
2,-5,-57.9
2,5,57.099999999999994
4,-5,-48.7
-3,-2,-4.4
4,-1,9.3
1,-4,-28.8
5,-2,18.0
-1,1,0.30000000000000004
2,3,10.1
-5,-2,-22.0
3,0,2.4000000000000004
5,-2,18.0
2,-1,0.10000000000000009
0,0,0.0
1,-3,-11.3
3,-1,2.9000000000000004
0,-2,-2.0
-3,3,8.1
1,-2,-2.8
4,-3,-1.6999999999999993
-4,4,19.2
2,-4,-28.4
-4,5,48.7
-1,0,0.8
5,-1,20.5
3,5,59.900000000000006
0,-3,-10.5
0,0,0.0
1,-1,-0.30000000000000004
-3,-4,-30.4
-5,-5,-77.5
-3,4,25.6
1,0,-0.8
0,-2,-2.0
-2,-5,-57.099999999999994
5,4,48.0
1,3,9.7
-2,0,0.3999999999999999
1,-3,-11.3
-3,3,8.1
-3,2,-0.40000000000000036
0,4,28.0
4,3,19.3
-1,-3,-9.7
-3,-4,-30.4
4,3,19.3
-3,5,55.1
5,3,30.5
-3,4,25.6
0,-3,-10.5
-4,2,-6.800000000000001
-5,-1,-19.5
5,0,20.0
4,-1,9.3
-4,0,-8.8
1,-4,-28.8
-2,0,0.3999999999999999
1,0,-0.8
-1,0,0.8
2,2,1.5999999999999996
-4,-4,-36.8
1,0,-0.8
1,-1,-0.30000000000000004
5,5,77.5
1,-2,-2.8
-2,-3,-10.1
-5,-1,-19.5
-3,-3,-12.899999999999999
3,1,1.9000000000000004
